s	 empty-16-16-random-1.scen	5	 5, 2.00	0.39
 empty-16-16-random-1.scen	5	 10, 3.00	1.13
 empty-16-16-random-1.scen	5	 15, 2.00	5.36
 empty-16-16-random-1.scen	5	 20, 2.00	1.39
 empty-16-16-random-1.scen	5	 25, 2.00	1.28
 empty-16-16-random-1.scen	5	 30, 2.00	1.57
 empty-16-16-random-1.scen	5	 35, 5.00	4.02
 empty-16-16-random-1.scen	5	 40, 4.00	1.69
 empty-16-16-random-1.scen	5	 45, 8.00	3.89
 empty-16-16-random-1.scen	5	 50, 5.00	2.60
 empty-16-16-random-1.scen	5	 55, 6.00	3.21
 empty-16-16-random-1.scen	5	 60, 9.00	4.31
 empty-16-16-random-1.scen	5	 65, 4.00	2.03
 empty-16-16-random-1.scen	5	 70, 13.00	7.69
 empty-16-16-random-1.scen	5	 75, 7.00	3.83
 empty-16-16-random-1.scen	5	 80, 10.00	6.92
 empty-16-16-random-1.scen	5	 85, 12.00	7.12
 empty-16-16-random-1.scen	5	 90, 12.00	7.67
 empty-16-16-random-1.scen	5	 95, 11.00	7.81
 empty-16-16-random-1.scen	5	 100, 13.00	9.88
 empty-16-16-random-1.scen	5	 105, 17.00	12.91
 empty-16-16-random-1.scen	5	 110, 10.00	7.56
 empty-16-16-random-1.scen	5	 115, 11.00	9.19
 empty-16-16-random-1.scen	5	 120, 13.00	11.12
 empty-16-16-random-1.scen	5	 125, 16.00	13.11
s	 empty-16-16-random-2.scen	5	 5, 0.00	0.15
 empty-16-16-random-2.scen	5	 10, 2.00	0.91
 empty-16-16-random-2.scen	5	 15, 2.00	0.88
 empty-16-16-random-2.scen	5	 20, 11.00	5.92
 empty-16-16-random-2.scen	5	 25, 5.00	2.45
 empty-16-16-random-2.scen	5	 30, 3.00	1.05
 empty-16-16-random-2.scen	5	 35, 5.00	1.63
 empty-16-16-random-2.scen	5	 40, 9.00	4.53
 empty-16-16-random-2.scen	5	 45, 14.00	6.67
 empty-16-16-random-2.scen	5	 50, 17.00	10.04
 empty-16-16-random-2.scen	5	 55, 12.00	6.54
 empty-16-16-random-2.scen	5	 60, 13.00	20.26
 empty-16-16-random-2.scen	5	 65, 16.00	23.77
 empty-16-16-random-2.scen	5	 70, 17.00	20.50
 empty-16-16-random-2.scen	5	 75, 22.00	25.74
 empty-16-16-random-2.scen	5	 80, 23.00	44.92
 empty-16-16-random-2.scen	5	 85, 28.00	50.08
 empty-16-16-random-2.scen	5	 90, 32.00	97.41
 empty-16-16-random-2.scen	5	 95, 37.00	114.28
 empty-16-16-random-2.scen	5	 100, 61.00	155.14
 empty-16-16-random-2.scen	5	 105, 15.00	61.16
 empty-16-16-random-2.scen	5	 110, 8.00	14.66
 empty-16-16-random-2.scen	5	 115, 12.00	26.07
 empty-16-16-random-2.scen	5	 120, 60.00	79.15
 empty-16-16-random-2.scen	5	 125, 62.00	195.90
s	 empty-16-16-random-3.scen	5	 5, 3.00	0.32
 empty-16-16-random-3.scen	5	 10, 2.00	0.62
 empty-16-16-random-3.scen	5	 15, 3.00	1.55
 empty-16-16-random-3.scen	5	 20, 4.00	1.19
 empty-16-16-random-3.scen	5	 25, 5.00	4.49
 empty-16-16-random-3.scen	5	 30, 6.00	2.43
 empty-16-16-random-3.scen	5	 35, 9.00	6.85
 empty-16-16-random-3.scen	5	 40, 6.00	7.80
 empty-16-16-random-3.scen	5	 45, 6.00	4.61
 empty-16-16-random-3.scen	5	 50, 8.00	6.60
 empty-16-16-random-3.scen	5	 55, 9.00	6.79
 empty-16-16-random-3.scen	5	 60, 12.00	8.80
 empty-16-16-random-3.scen	5	 65, 16.00	14.18
 empty-16-16-random-3.scen	5	 70, 13.00	15.72
 empty-16-16-random-3.scen	5	 75, 14.00	21.28
 empty-16-16-random-3.scen	5	 80, 16.00	25.83
 empty-16-16-random-3.scen	5	 85, 25.00	27.52
 empty-16-16-random-3.scen	5	 90, 16.00	25.41
 empty-16-16-random-3.scen	5	 95, 19.00	23.25
 empty-16-16-random-3.scen	5	 100, 26.00	43.16
 empty-16-16-random-3.scen	5	 105, 14.00	42.89
 empty-16-16-random-3.scen	5	 110, 16.00	33.57
 empty-16-16-random-3.scen	5	 115, 18.00	39.49
